Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country
2,2006-07-03,228.5,Obernai,Esch-sur-Alzette,Flat stage,Robbie McEwen,AUS
3,2006-07-04,216.5,Esch-sur-Alzette,Valkenburg,Hilly stage,Matthias Kessler,GER
4,2006-07-05,207,Huy,Saint-Quentin,Flat stage,Robbie McEwen,AUS
5,2006-07-06,225,Beauvais,Caen,Flat stage,Óscar Freire,ESP
6,2006-07-07,189,Lisieux,Vitré,Flat stage,Robbie McEwen,AUS
7,2006-07-08,52,Saint Grégoire,Rennes,Individual time trial,Serhiy Honchar,UKR
8,2006-07-09,181,Saint-Méen-le-Grand,Lorient,Flat stage,Sylvain Calzati,FRA
9,2006-07-11,169.5,Bordeaux,Dax,Flat stage,Óscar Freire,ESP
10,2006-07-12,190.5,Cambo-les-Bains,Pau,Mountain stage,Juan Miguel Mercado,ESP
11,2006-07-13,206.5,Tarbes,Val d'Aran/Pla-de-Beret,Mountain stage,Denis Menchov,RUS
12,2006-07-14,211.5,Luchon,Carcassonne,Hilly stage,Yaroslav Popovych,UKR
13,2006-07-15,230,Béziers,Montélimar,Flat stage,Jens Voigt,GER
14,2006-07-16,180.5,Montélimar,Gap,Hilly stage,Pierrick Fédrigo,FRA
15,2006-07-18,187,Gap,Alpe d'Huez,Mountain stage,Fränk Schleck,LUX
16,2006-07-19,182,Le Bourg-d'Oisans,La Toussuire,Mountain stage,Michael Rasmussen,DEN
17,2006-07-20,200.5,Saint-Jean-de-Maurienne,Morzine,Mountain stage,Carlos Sastre,ESP
18,2006-07-21,197,Morzine,Mâcon,Flat stage,Matteo Tosatto,ITA
19,2006-07-22,57,Le Creusot,Montceau-les-Mines,Individual time trial,Serhiy Honchar,UKR
20,2006-07-23,154.5,Antony/Parc de Sceaux,Paris,Flat stage,Thor Hushovd,NOR
1,2005-07-02,19,Fromentine,Noirmoutier-en-l'Île,Individual time trial,David Zabriskie,USA
2,2005-07-03,181.5,Challans,Les Essarts,Plain stage,Tom Boonen,BEL
3,2005-07-04,212.5,La Châtaigneraie,Tours,Plain stage,Tom Boonen,BEL
4,2005-07-05,67.5,Tours,Blois,Team time trial,Discovery Channel,
5,2005-07-06,183,Chambord,Montargis,Plain stage,Robbie McEwen,AUS
6,2005-07-07,199,Troyes,Nancy,Plain stage,Lorenzo Bernucci,ITA
7,2005-07-08,228.5,Lunéville,Karlsruhe,Plain stage,Robbie McEwen,AUS
8,2005-07-09,231.5,Pforzheim,Gérardmer,Hilly stage,Pieter Weening,NED
9,2005-07-10,171,Gérardmer,Mulhouse,Hilly stage,Michael Rasmussen,DEN
10,2005-07-12,177,Grenoble,Courchevel,Mountain stage,Alejandro Valverde,ESP
11,2005-07-13,173,Courchevel,Briançon,Mountain stage,Alexander Vinokourov,KAZ
12,2005-07-14,187,Briançon,Digne-les-Bains,Hilly stage,David Moncoutié,FRA
13,2005-07-15,173.5,Miramas,Montpellier,Plain stage,Robbie McEwen,AUS
14,2005-07-16,220.5,Agde,Ax 3 Domaines,Mountain stage,Georg Totschnig,AUT
15,2005-07-17,205.5,Lézat-sur-Lèze,Saint-Lary-Soulan Pla d'Adet,Mountain stage,George Hincapie,USA
16,2005-07-19,180.5,Mourenx,Pau,Mountain stage,Óscar Pereiro,ESP
17,2005-07-20,239.5,Pau,Revel,Plain stage,Paolo Savoldelli,ITA
18,2005-07-21,189,Albi,Mende,Hilly stage,Marcos Antonio Serrano,ESP
